Date,Close,Open,Low,High,Volume
2022-12-18,16757.9765625,16795.609375,16697.8203125,16815.38671875,10924354698
2022-12-19,16439.6796875,16759.041015625,16398.13671875,16807.52734375,17221074814
2022-12-20,16906.3046875,16441.787109375,16427.8671875,17012.984375,22722096615
2022-12-21,16817.53515625,16904.52734375,16755.912109375,16916.80078125,14882945045
2022-12-22,16830.341796875,16818.380859375,16592.408203125,16866.673828125,16441573050
2022-12-23,16796.953125,16829.64453125,16794.458984375,16905.21875,15329265213
2022-12-24,16847.755859375,16796.9765625,16793.52734375,16864.703125,9744636213
2022-12-25,16841.986328125,16847.505859375,16755.25390625,16860.5546875,11656379938
2022-12-26,16919.8046875,16842.25,16812.369140625,16920.123046875,11886957804
2022-12-27,16717.173828125,16919.291015625,16642.072265625,16959.845703125,15748580239
2022-12-28,16552.572265625,16716.400390625,16497.556640625,16768.169921875,17005713920
2022-12-29,16642.341796875,16552.322265625,16508.68359375,16651.755859375,14472237479
2022-12-30,16602.5859375,16641.330078125,16408.474609375,16643.427734375,15929162910
2022-12-31,16547.49609375,16603.673828125,16517.51953125,16628.986328125,11239186456
2023-01-01,16625.080078125,16547.9140625,16521.234375,16630.439453125,9244361700
2023-01-02,16688.470703125,16625.509765625,16572.228515625,16759.34375,12097775227
2023-01-03,16679.857421875,16688.84765625,16622.37109375,16760.447265625,13903079207
2023-01-04,16863.23828125,16680.205078125,16667.763671875,16964.5859375,18421743322
2023-01-05,16836.736328125,16863.47265625,16790.283203125,16884.021484375,13692758566
2023-01-06,16951.96875,16836.47265625,16716.421875,16991.994140625,14413662913
2023-01-07,16955.078125,16952.1171875,16914.19140625,16975.017578125,7714767174
2023-01-08,17091.14453125,16954.146484375,16924.05078125,17091.14453125,9768827914
2023-01-09,17196.5546875,17093.9921875,17093.9921875,17389.95703125,18624736866
2023-01-10,17446.29296875,17192.94921875,17162.990234375,17484.720703125,15808338949
2023-01-11,17934.896484375,17446.359375,17337.994140625,17934.896484375,18372283782
2023-01-12,18869.587890625,18117.59375,17995.203125,19030.087890625,34971338710
2023-01-13,19909.57421875,18868.90625,18753.1640625,19964.322265625,29225029694
2023-01-14,20976.298828125,19910.537109375,19907.828125,21075.142578125,38967784639
2023-01-15,20880.798828125,20977.484375,20606.986328125,20993.748046875,19298407543
2023-01-16,21169.6328125,20882.224609375,20715.74609375,21360.875,26792494050
2023-01-17,21161.51953125,21175.833984375,20978.533203125,21438.66015625,24999983362
2023-01-18,20688.78125,21161.05078125,20541.544921875,21564.501953125,30005625418
2023-01-19,21086.79296875,20686.74609375,20685.380859375,21163.01171875,21152848261
2023-01-20,22676.552734375,21085.373046875,20919.126953125,22692.357421875,28799154319
2023-01-21,22777.625,22677.427734375,22511.833984375,23282.34765625,32442278429
2023-01-22,22720.416015625,22777.986328125,22387.900390625,23056.73046875,24746386230
2023-01-23,22934.431640625,22721.087890625,22654.3046875,23126.486328125,26518700512
2023-01-24,22636.46875,22929.626953125,22549.744140625,23134.01171875,26405069715
2023-01-25,23117.859375,22639.267578125,22406.076171875,23722.099609375,30685366709
2023-01-26,23032.77734375,23108.955078125,22911.373046875,23237.078125,26357839322
2023-01-27,23078.728515625,23030.716796875,22654.59375,23417.720703125,25383335641
2023-01-28,23031.08984375,23079.96484375,22908.845703125,23165.896484375,14712928379
2023-01-29,23774.56640625,23031.44921875,22985.0703125,23919.890625,27423687259
2023-01-30,22840.138671875,23774.6484375,22657.58203125,23789.34765625,27205595568
2023-01-31,23139.283203125,22840.796875,22765.568359375,23225.021484375,22837828665
2023-02-01,23723.76953125,23137.8359375,22877.75,23764.5390625,26683255504
2023-02-02,23471.87109375,23720.82421875,23468.595703125,24167.2109375,32066936882
2023-02-03,23449.322265625,23469.412109375,23279.955078125,23678.103515625,27083066007
2023-02-04,23331.84765625,23446.3203125,23291.794921875,23556.94921875,15639298538
2023-02-05,22955.666015625,23332.248046875,22841.759765625,23423.435546875,19564262605
2023-02-06,22760.109375,22954.021484375,22692.025390625,23119.279296875,23825006542
2023-02-07,23264.291015625,22757.267578125,22756.2578125,23310.974609375,27187964471
2023-02-08,22939.3984375,23263.416015625,22731.09765625,23367.958984375,25371367758
2023-02-09,21819.0390625,22946.56640625,21773.974609375,22996.4375,32572572185
2023-02-10,21651.18359375,21819.005859375,21539.392578125,21941.185546875,27078406594
2023-02-11,21870.875,21651.841796875,21618.44921875,21891.41015625,16356226232
2023-02-12,21788.203125,21870.90234375,21682.828125,22060.994140625,17821046406
2023-02-13,21808.1015625,21787.0,21460.087890625,21898.4140625,23918742607
2023-02-14,22220.8046875,21801.822265625,21632.39453125,22293.140625,26792596581
2023-02-15,24307.841796875,22220.5859375,22082.76953125,24307.841796875,32483312909
2023-02-16,23623.474609375,24307.349609375,23602.5234375,25134.1171875,39316664596
2023-02-17,24565.6015625,23621.283203125,23460.755859375,24924.041015625,41358451255
2023-02-18,24641.27734375,24565.296875,24468.373046875,24798.8359375,19625427158
2023-02-19,24327.642578125,24640.02734375,24327.642578125,25093.0546875,25555105670
2023-02-20,24829.1484375,24336.623046875,23927.91015625,25020.458984375,28987376573
2023-02-21,24436.353515625,24833.048828125,24200.36328125,25126.8515625,31252098714
2023-02-22,24188.84375,24437.41796875,23644.318359375,24472.33984375,30199996781
2023-02-23,23947.4921875,24190.71875,23693.919921875,24572.08984375,30476264066
2023-02-24,23198.126953125,23946.0078125,23007.072265625,24103.705078125,26811744928
2023-02-25,23175.375,23200.125,22861.55859375,23210.2109375,16100721565
2023-02-26,23561.212890625,23174.150390625,23084.220703125,23654.3671875,16644534842
2023-02-27,23522.87109375,23561.451171875,23205.87890625,23857.890625,22660763494
2023-02-28,23147.353515625,23521.837890625,23077.650390625,23585.384765625,20535363434
2023-03-01,23646.55078125,23150.9296875,23088.626953125,23880.6328125,24662841200
2023-03-02,23475.466796875,23647.01953125,23245.021484375,23739.138671875,20386398516
2023-03-03,22362.6796875,23476.6328125,22213.23828125,23479.34765625,26062404610
2023-03-04,22353.349609375,22362.923828125,22198.98046875,22405.177734375,11166012913
2023-03-05,22435.513671875,22354.14453125,22307.142578125,22613.685546875,13317001733
2023-03-06,22429.7578125,22436.81640625,22331.314453125,22584.29296875,17353192895
2023-03-07,22219.76953125,22428.322265625,22011.26171875,22527.41796875,22765452204
2023-03-08,21718.080078125,22216.44140625,21708.05078125,22268.896484375,22536575684
2023-03-09,20363.021484375,21720.080078125,20210.306640625,21802.716796875,30364664171
2023-03-10,20187.244140625,20367.001953125,19628.25390625,20370.595703125,39578257695
2023-03-11,20632.41015625,20187.876953125,20068.66015625,20792.525390625,30180288176
2023-03-12,22163.94921875,20628.029296875,20448.806640625,22185.03125,29279035521
2023-03-13,24197.533203125,22156.40625,21918.19921875,24550.837890625,49466362688
2023-03-14,24746.07421875,24201.765625,24081.18359375,26514.716796875,54622230164
2023-03-15,24375.9609375,24770.92578125,23964.91015625,25240.615234375,43655701450
2023-03-16,25052.7890625,24373.45703125,24225.111328125,25190.326171875,33866061747
2023-03-17,27423.9296875,25055.123046875,24955.169921875,27787.8125,50730261335
2023-03-18,26965.87890625,27448.1171875,26636.26171875,27725.953125,35723036817
2023-03-19,28038.67578125,26969.50390625,26907.716796875,28440.560546875,37769448859
2023-03-20,27767.236328125,28041.6015625,27242.880859375,28527.724609375,44774027664
2023-03-21,28175.81640625,27768.392578125,27439.646484375,28439.5625,36102192830
2023-03-22,27307.4375,28158.720703125,26759.99609375,28803.3359375,33382021890
2023-03-23,28333.97265625,27301.95703125,27183.36328125,28729.84375,24220433689
2023-03-24,27493.28515625,28324.111328125,27039.265625,28388.4375,25980310960
2023-03-25,27494.70703125,27487.337890625,27196.234375,27791.826171875,13383005987
2023-03-26,27994.330078125,27495.5234375,27445.046875,28178.14453125,13878363192
2023-03-27,27139.888671875,27994.068359375,26606.689453125,28037.92578125,18188895178
2023-03-28,27268.130859375,27132.888671875,26677.818359375,27460.71875,17783600385
2023-03-29,28348.44140625,27267.03125,27259.662109375,28619.54296875,20684945906
2023-03-30,28033.5625,28350.140625,27720.16015625,29159.90234375,22435349951
2023-03-31,28478.484375,28032.26171875,27583.71484375,28639.896484375,19001327598
2023-04-01,28411.03515625,28473.33203125,28297.171875,28802.45703125,10876469901
2023-04-02,28199.30859375,28462.845703125,27884.087890625,28518.958984375,12284641999
2023-04-03,27790.220703125,28183.080078125,27276.720703125,28475.623046875,19556501327
2023-04-04,28168.08984375,27795.2734375,27681.3046875,28433.7421875,15284538859
2023-04-05,28177.984375,28169.7265625,27843.763671875,28739.23828125,17052315986
2023-04-06,28044.140625,28175.2265625,27738.759765625,28178.384765625,13837809380
2023-04-07,27925.859375,28038.966796875,27794.03125,28111.59375,10861680497
2023-04-08,27947.794921875,27920.513671875,27883.38671875,28159.86328125,9373255556
2023-04-09,28333.05078125,27952.3671875,27828.48046875,28532.830078125,12175322951
2023-04-10,29652.98046875,28336.02734375,28189.271484375,29771.46484375,19282400094
2023-04-11,30235.05859375,29653.6796875,29609.30078125,30509.083984375,20121259843
2023-04-12,30139.052734375,30231.58203125,29725.57421875,30462.48046875,18651929926
2023-04-13,30399.06640625,29892.740234375,29878.623046875,30539.845703125,17487721001
2023-04-14,30485.69921875,30409.5625,30044.498046875,31005.607421875,22659995079
2023-04-15,30318.49609375,30490.75,30245.8828125,30601.740234375,11940685378
2023-04-16,30315.35546875,30315.9765625,30157.83203125,30555.537109375,12854816417
2023-04-17,29445.044921875,30317.146484375,29275.37109375,30319.197265625,17872186762
2023-04-18,30397.552734375,29449.091796875,29154.849609375,30470.302734375,19480529496
2023-04-19,28822.6796875,30394.1875,28669.8984375,30411.0546875,24571565421
2023-04-20,28245.98828125,28823.68359375,28037.2578125,29076.400390625,21340360360
2023-04-21,27276.91015625,28249.23046875,27177.365234375,28349.96875,20759504330
